ticker,name,year,esg,e,s,g,sector,industry
AVY,AVERY DENNISON,2020,80.51,17.89,82.15,26.1,Consumer Cyclical,Packaging & Containers
AVY,AVERY DENNISON,2021,83.27,14.36,80.24,30.06,Consumer Cyclical,Packaging & Containers
AVY,AVERY DENNISON,2022,82.2,20.55,74.3,39.09,Consumer Cyclical,Packaging & Containers
AVY,AVERY DENNISON,2023,78.77,17.31,73.1,46.02,Consumer Cyclical,Packaging & Containers
AVY,AVERY DENNISON,2024,78.65,15.88,75.5,49.75,Consumer Cyclical,Packaging & Containers
AWK,AMERICAN WATER WORKS,2020,86.49,80.65,71.14,23.09,Utilities,Utilities - Regulated Water
AWK,AMERICAN WATER WORKS,2021,73.31,81.23,71.78,28.72,Utilities,Utilities - Regulated Water
AWK,AMERICAN WATER WORKS,2022,80.98,80.1,74.78,28.07,Utilities,Utilities - Regulated Water
AWK,AMERICAN WATER WORKS,2023,79.99,76.82,73.49,25.74,Utilities,Utilities - Regulated Water
AWK,AMERICAN WATER WORKS,2024,72.05,75.87,75.52,25.24,Utilities,Utilities - Regulated Water
AXON,AXON ENTERPRISE,2020,85.15,52.85,67.59,84.82,Industrials,Aerospace & Defense
AXON,AXON ENTERPRISE,2021,69.24,78.92,64.1,85.54,Industrials,Aerospace & Defense
AXON,AXON ENTERPRISE,2022,73.6,85.41,63.01,85.11,Industrials,Aerospace & Defense
AXON,AXON ENTERPRISE,2023,68.05,83.59,63.57,85.44,Industrials,Aerospace & Defense
AXON,AXON ENTERPRISE,2024,83.39,82.24,63.11,85.42,Industrials,Aerospace & Defense
AXP,AMERICAN EXPRESS,2020,71.8,29.38,42.68,38.42,Financial Services,Credit Services
AXP,AMERICAN EXPRESS,2021,73.78,32.95,44.5,51.41,Financial Services,Credit Services
AXP,AMERICAN EXPRESS,2022,73.82,57.91,58.45,62.48,Financial Services,Credit Services
AXP,AMERICAN EXPRESS,2023,72.09,55.98,48.99,50.5,Financial Services,Credit Services
AXP,AMERICAN EXPRESS,2024,71.27,51.79,47.74,55.73,Financial Services,Credit Services
AZO,AUTOZONE,2020,78.0,50.07,70.85,59.71,Consumer Cyclical,Auto Parts
AZO,AUTOZONE,2021,77.91,39.27,70.6,59.58,Consumer Cyclical,Auto Parts
AZO,AUTOZONE,2022,87.54,53.3,68.29,59.54,Consumer Cyclical,Auto Parts
AZO,AUTOZONE,2023,80.24,52.75,66.97,58.96,Consumer Cyclical,Auto Parts
AZO,AUTOZONE,2024,75.16,52.08,67.08,60.59,Consumer Cyclical,Auto Parts
BA,BOEING,2020,63.08,86.24,91.64,66.13,Industrials,Aerospace & Defense
BA,BOEING,2021,63.48,91.52,92.55,73.36,Industrials,Aerospace & Defense
BA,BOEING,2022,69.06,83.65,92.54,77.21,Industrials,Aerospace & Defense
BA,BOEING,2023,59.02,82.09,92.13,77.11,Industrials,Aerospace & Defense
BA,BOEING,2024,65.14,90.59,91.8,77.13,Industrials,Aerospace & Defense
BAC,BANK OF AMERICA,2020,65.7,46.82,57.17,82.99,Financial Services,Banks - Diversified
BAC,BANK OF AMERICA,2021,61.18,47.18,51.72,81.17,Financial Services,Banks - Diversified
BAC,BANK OF AMERICA,2022,65.33,70.84,56.5,83.44,Financial Services,Banks - Diversified
BAC,BANK OF AMERICA,2023,62.8,79.36,52.3,76.51,Financial Services,Banks - Diversified
BAC,BANK OF AMERICA,2024,62.05,64.97,53.89,81.65,Financial Services,Banks - Diversified
BALL,BALL,2020,61.39,60.68,75.9,71.32,Consumer Cyclical,Packaging & Containers
BALL,BALL,2021,76.9,59.44,75.07,80.38,Consumer Cyclical,Packaging & Containers
BALL,BALL,2022,72.21,69.12,75.59,79.29,Consumer Cyclical,Packaging & Containers
BALL,BALL,2023,67.42,66.41,76.56,78.28,Consumer Cyclical,Packaging & Containers
BALL,BALL,2024,73.08,65.0,78.16,77.32,Consumer Cyclical,Packaging & Containers
BAX,BAXTER INTL.,2020,78.69,83.63,80.78,43.76,Healthcare,Medical Instruments & Supplies
BAX,BAXTER INTL.,2021,79.9,84.04,77.86,57.39,Healthcare,Medical Instruments & Supplies
BAX,BAXTER INTL.,2022,78.28,89.15,77.43,62.21,Healthcare,Medical Instruments & Supplies
BAX,BAXTER INTL.,2023,76.27,89.86,80.66,72.36,Healthcare,Medical Instruments & Supplies
BAX,BAXTER INTL.,2024,75.32,90.12,78.33,76.3,Healthcare,Medical Instruments & Supplies
BBY,BEST BUY,2020,71.95,36.0,94.69,50.96,Consumer Cyclical,Specialty Retail
BBY,BEST BUY,2021,69.23,36.41,94.18,49.9,Consumer Cyclical,Specialty Retail
BBY,BEST BUY,2022,75.54,35.08,94.11,67.73,Consumer Cyclical,Specialty Retail
BBY,BEST BUY,2023,74.23,32.44,93.6,66.56,Consumer Cyclical,Specialty Retail
BBY,BEST BUY,2024,76.7,32.95,93.58,64.39,Consumer Cyclical,Specialty Retail
BDX,BECTON DICKINSON,2020,74.26,10.27,77.33,66.42,Healthcare,Medical Instruments & Supplies
BDX,BECTON DICKINSON,2021,73.55,17.33,77.25,47.37,Healthcare,Medical Instruments & Supplies
BDX,BECTON DICKINSON,2022,75.32,26.72,76.25,69.77,Healthcare,Medical Instruments & Supplies
BDX,BECTON DICKINSON,2023,74.22,45.53,77.4,66.06,Healthcare,Medical Instruments & Supplies
BDX,BECTON DICKINSON,2024,69.99,43.16,75.88,69.52,Healthcare,Medical Instruments & Supplies
BEN,FRANKLIN RESOURCES,2020,27.63,58.34,31.47,71.67,Financial Services,Asset Management
BEN,FRANKLIN RESOURCES,2021,32.19,60.53,42.0,73.78,Financial Services,Asset Management
